Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
Cs,P63/mmc,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-270
Cs,P63/mmc,0.000266,0.002462,0.0,0.0,4,1,0.000266,0.002462,N.A.,N.A.,0.0,H-44
Cu2S,F-43m,-0.06536,-0.112449,0.16,1.1,3,2,0.080136,-0.073308,Indirect,Indirect,-0.2746,H-10653
Cu2S,Fm-3m,-0.196165,-0.288698,0.0,0.28,3,2,-0.050669,-0.249558,N.A.,Direct,-0.2746,H-5602
Cu2Se,F-43m,0.029536,-0.139406,0.0,0.9,3,2,0.029536,-0.139406,N.A.,Indirect,-0.2284,H-2529
Cu2Se,Fm-3m,0.007302,-0.218068,0.0,0.01,3,2,0.007302,-0.218068,N.A.,Direct,-0.2284,H-7468
CuBr,Fm-3m,-0.331049,-0.411137,0.14,1.86,2,2,-0.075875,-0.358232,Indirect,Indirect,-0.5441,H-6621
CuCl,F-43m,-0.683649,-0.680076,0.54,2.33,2,2,-0.383387,-0.625942,Direct,Direct,-0.71,H-4319
CuCl,Fm-3m,-0.50719,-0.573609,0.27,2.15,2,2,-0.206928,-0.519475,Indirect,Indirect,-0.71,H-5876
CuI,Fm-3m,-0.067291,-0.150055,0.31,0.92,2,2,0.078324,-0.144804,Indirect,Indirect,-0.369,H-1280
CuI,F-43m,-0.301788,-0.381261,1.13,2.57,2,2,-0.156173,-0.37601,Direct,Direct,-0.369,H-4928
CuN,F-43m,0.866026,1.514698,0.0,0.0,2,2,0.988336,1.442349,N.A.,N.A.,None,H-11463
CuO,Fm-3m,-0.807377,0.145444,0.02,0.04,2,2,-0.520354,0.215797,Indirect,Indirect,-0.8074,H-5931
CuPd,Pm-3m,-0.120728,-0.215071,0.03,0.13,2,2,-0.120728,-0.215071,Indirect,Indirect,None,H-11464
Cu,Im-3m,0.035409,0.03089,0.0,0.15,1,1,0.035409,0.03089,N.A.,Indirect,0.0,H-13359
Cu,Fm-3m,0.0,0.0,0.08,0.3,1,1,0.0,0.0,Indirect,Indirect,0.0,H-96
