Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
YbH2,Fm-3m,-0.637901,-0.621581,0.07,0.96,3,2,-0.572594,-0.653884,Indirect,Indirect,None,H-3186
YbHg2,C2/m,-0.517088,-0.542127,0.0,0.0,3,2,-0.513543,-0.58329,N.A.,N.A.,None,H-2809
YbHg,Pm-3m,-0.65952,-0.697058,0.0,0.0,2,2,-0.656861,-0.72793,N.A.,N.A.,None,H-8211
YbI2,P-3m1,-1.86022,-1.851431,4.04,5.05,3,2,-1.666068,-1.844429,Indirect,Indirect,None,H-3112
YbIn,Pm-3m,-0.516688,-0.566278,0.0,0.0,2,2,-0.516688,-0.566278,N.A.,N.A.,None,H-7334
YbN,Fm-3m,-0.635561,-0.210675,0.0,0.0,2,2,-0.513251,-0.283024,N.A.,N.A.,None,H-10955
YbO,Fm-3m,-3.605165,-3.75017,3.48,4.98,2,2,-3.318142,-3.679817,Indirect,Indirect,None,H-2934
YbPPt,Amm2,-1.332244,-1.39428,0.0,0.0,3,3,-1.217247,-1.328616,N.A.,N.A.,None,H-11553
YbP,Fm-3m,-0.914108,-0.80851,0.0,0.0,2,2,-0.741611,-0.710015,N.A.,N.A.,None,H-7836
YbPb,P4/mmm,-0.560241,-0.659401,0.0,0.0,2,2,-0.560241,-0.659401,N.A.,N.A.,None,H-2122
YbPd,Pm-3m,-0.857394,-0.97121,0.0,0.0,2,2,-0.857394,-0.97121,N.A.,N.A.,None,H-7513
YbRu,Pm-3m,0.166152,0.187484,0.0,0.0,2,2,0.166152,0.187484,N.A.,N.A.,None,H-4735
YbS,Fm-3m,-2.477705,-2.528992,2.23,3.13,2,2,-2.259461,-2.470281,Indirect,Indirect,None,H-1582
YbSb,Fm-3m,-0.645597,-0.709833,0.0,0.0,2,2,-0.645597,-0.709833,N.A.,N.A.,None,H-4337
YbSe,Fm-3m,-2.096948,-2.340109,1.95,2.79,2,2,-2.096948,-2.340109,Indirect,Indirect,None,H-6500
YbSn,P4/mmm,-0.659287,-0.724415,0.0,0.0,2,2,-0.672224,-0.7204,N.A.,N.A.,None,H-4969
YbTe,Fm-3m,-1.669928,-1.91344,1.45,2.16,2,2,-1.669928,-1.91344,Indirect,Indirect,None,H-7060
YbTl,Pm-3m,-0.495115,-0.554185,0.0,0.0,2,2,-0.495115,-0.554185,N.A.,N.A.,None,H-5138
YbZn,Pm-3m,-0.341296,-0.300068,0.0,0.0,2,2,-0.341296,-0.300068,N.A.,N.A.,None,H-2173
Yb,Im-3m,0.006763,0.022696,0.0,0.0,1,1,0.006763,0.022696,N.A.,N.A.,0.0,H-113
Yb,Fm-3m,0.0,0.0,0.02,0.11,1,1,0.0,0.0,Indirect,Indirect,0.0,H-327
ZnAg,Pm-3m,-0.046061,-0.060675,0.0,0.0,2,2,-0.046061,-0.060675,N.A.,N.A.,None,H-8030
ZnAu,Pm-3m,-0.21092,-0.247101,0.0,0.0,2,2,-0.21092,-0.247101,N.A.,N.A.,None,H-11119
ZnCu,Pm-3m,-0.088974,-0.119383,0.0,0.0,2,2,-0.088974,-0.119383,N.A.,N.A.,None,H-10259
ZnI2,C2/m,-0.670385,-0.602087,1.87,2.88,3,2,-0.476232,-0.595085,Indirect,Indirect,-0.7324,H-9278
ZnNi,Pm-3m,-0.241862,-0.241463,0.0,0.0,2,2,-0.241862,-0.241463,N.A.,N.A.,None,H-12631
ZnNi,F-43m,0.822127,0.913616,0.02,0.18,2,2,0.822127,0.913616,Indirect,Indirect,None,H-13032
ZnNi,P4/mmm,-0.255105,-0.239821,0.0,0.0,2,2,-0.255105,-0.239821,N.A.,N.A.,None,H-4228
ZnO,Pm-3m,-1.003863,-1.156269,0.28,0.34,2,2,-0.716841,-1.085917,Indirect,Indirect,-1.8163,H-13283
ZnO,F-43m,-1.716189,-1.848107,0.62,2.26,2,2,-1.429167,-1.777755,Direct,Direct,-1.8163,H-3874
ZnPd,P4/mmm,-0.558568,-0.721491,0.0,0.0,2,2,-0.558568,-0.721491,N.A.,N.A.,None,H-12605
ZnRh,Pm-3m,-0.364198,-0.530652,0.0,0.13,2,2,-0.364198,-0.530652,N.A.,Indirect,None,H-1944
ZnS,F-43m,-1.02352,-1.020122,2.03,3.23,2,2,-0.805276,-0.961411,Direct,Direct,-1.052,H-11102
ZnSe,F-43m,-0.711101,-0.881231,1.16,2.25,2,2,-0.711101,-0.881231,Direct,Direct,-0.9172,H-1867
ZnTe,Fm-3m,-0.171473,-0.272379,0.0,0.46,2,2,-0.171473,-0.272379,N.A.,Indirect,-0.6115,H-12026
Zn,Cmcm,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-328
Zr2Au,I4/mmm,-0.431727,-0.450297,0.0,0.0,3,2,-0.431727,-0.450297,N.A.,N.A.,-0.512,H-9835
Zr2Pd,I4/mmm,-0.490437,-0.567295,0.0,0.0,3,2,-0.490437,-0.567295,N.A.,N.A.,-0.4975,H-9571
ZrAs,Fm-3m,-1.095233,-1.281494,0.0,0.0,2,2,-1.095233,-1.281494,N.A.,N.A.,None,H-7949
ZrB,Fm-3m,-0.38955,-0.405502,0.0,0.0,2,2,-0.38955,-0.405502,N.A.,N.A.,None,H-2793
ZrC,Fm-3m,-0.860282,-0.982575,0.0,0.0,2,2,-0.860282,-0.982575,N.A.,N.A.,-1.0191,H-12071
ZrC,Pm-3m,0.370553,0.432656,0.0,0.0,2,2,0.370553,0.432656,N.A.,N.A.,-1.0191,H-13058
ZrCu,Pm-3m,-0.114034,-0.101617,0.0,0.0,2,2,-0.114034,-0.101617,N.A.,N.A.,-0.0938,H-10671
ZrH2,I4/mmm,-0.65742,-0.633409,0.0,0.02,3,2,-0.592113,-0.665712,N.A.,Indirect,None,H-12740
ZrHg,P4/mmm,-0.182641,-0.204128,0.0,0.0,2,2,-0.179983,-0.235,N.A.,N.A.,None,H-9811
ZrIr,Pm-3m,-0.801674,-0.914013,0.0,0.0,2,2,-0.801674,-0.914013,N.A.,N.A.,-0.8882,H-11828
ZrN,Pm-3m,-0.979521,-0.862504,0.0,0.0,2,2,-0.85721,-0.934853,N.A.,N.A.,-1.8928,H-2349
ZrN,Fm-3m,-1.879538,-1.83381,0.0,0.0,2,2,-1.757228,-1.906158,N.A.,N.A.,-1.8928,H-3716
ZrNiSn,F-43m,0.075643,0.038745,0.01,0.32,3,3,0.067018,0.041422,Indirect,Indirect,None,H-6513
ZrO2,Fm-3m,-3.764433,-4.000812,3.31,4.92,3,2,-3.381737,-3.907009,Indirect,Indirect,-3.8013,H-9853
ZrO,Fm-3m,-2.567857,-2.624995,0.0,0.0,2,2,-2.280834,-2.554642,N.A.,N.A.,None,H-7264
ZrOs,Pm-3m,-0.565683,-0.76329,0.09,0.17,2,2,-0.565683,-0.76329,Indirect,Indirect,None,H-11329
ZrP,Fm-3m,-1.529939,-1.613771,0.0,0.0,2,2,-1.357442,-1.515276,N.A.,N.A.,None,H-4295
ZrPd2,I4/mmm,-0.766427,-0.941899,0.0,0.0,3,2,-0.766427,-0.941899,N.A.,N.A.,None,H-2098
ZrPd,Pm-3m,-0.587616,-0.665151,0.0,0.0,2,2,-0.587616,-0.665151,N.A.,N.A.,-0.6602,H-3493
ZrRh,Pm-3m,-0.759385,-0.915417,0.0,0.0,2,2,-0.759385,-0.915417,N.A.,N.A.,-0.8027,H-10957
ZrSe2,C2/m,-1.354453,-1.576718,0.0,1.08,3,2,-1.354453,-1.576718,N.A.,Indirect,None,H-9048
ZrSnPd,F-43m,-0.238163,-0.378973,0.03,0.34,3,3,-0.246788,-0.376295,Indirect,Indirect,None,H-12664
ZrTe2,C2/m,-0.88994,-1.080031,0.0,0.0,3,2,-0.88994,-1.080031,N.A.,N.A.,-1.0161,H-10616
ZrZn,Pm-3m,-0.285072,-0.302038,0.0,0.0,2,2,-0.285072,-0.302038,N.A.,N.A.,None,H-7528
Zr,Im-3m,0.084417,0.201631,0.0,0.0,1,1,0.084417,0.201631,N.A.,N.A.,0.0,H-268
Zr,P63/mmc,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-296
Zr,Fm-3m,0.038782,0.090888,0.0,0.0,1,1,0.038782,0.090888,N.A.,N.A.,0.0,H-351
